Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
2002/10/26,07:27:15,Halo,360,846,8.1e+15*
2002/10/27,23:18:13,Halo,360,2115,1.4e+16*
2002/11/09,13:31:45,Halo,360,1838,1.1e+16*
2002/11/16,07:12:05,Halo,360,1185,5.5e+15*
2002/11/24,20:30:05,Halo,360,1077,8.7e+15*
2002/12/02,17:54:05,Halo,360,867,2.6e+16*
2002/12/08,23:54:05,Halo,360,1339,6.6e+15*
2002/12/19,08:54:06,Halo,360,433,1.9e+14*
2002/12/19,22:06:05,Halo,360,1092,5.8e+15*
2003/03/18,13:54:05,Halo,360,1042,4.6e+15*
2003/03/19,02:30:05,Halo,360,1342,5.8e+15*
2003/05/27,06:50:05,Halo,360,509,8.4e+14*
2003/05/28,00:50:05,Halo,360,1366,1.3e+16*
2003/05/29,01:27:12,Halo,360,1237,3.9e+15*
2003/05/31,02:30:19,Halo,360,1835,1.4e+16*
2003/06/15,23:54:05,Halo,360,2053,1.0e+16*
2003/06/17,23:18:14,Halo,360,1813,1.7e+16*
2003/08/03,00:30:05,Halo,360,699,6.9e+15*
2003/08/14,20:06:05,Halo,360,378,3.9e+15*
2003/09/21,08:30:05,Halo,360,554,6.6e+15*
2003/09/21,20:59:17,Halo,360,646,6.1e+15*
2003/10/18,15:30:21,Halo,360,627,7.2e+15*
2003/10/21,03:54:05,Halo,360,1484,1.2e+16*
2003/10/28,11:30:05,Halo,360,2459,6.8e+16*
2003/10/29,20:54:05,Halo,360,2029,1.7e+16*
2003/11/02,09:30:05,Halo,360,2036,4.5e+16*
2003/11/02,17:30:05,Halo,360,2598,4.9e+15*
2003/11/04,12:06:06,Halo,360,1208,1.1e+16*
2003/11/04,19:54:05,Halo,360,2657,1.7e+16*
2003/11/06,17:30:05,Halo,360,1523,1.3e+16*
2003/11/07,15:54:05,Halo,360,2237,9.9e+15*
2003/11/09,06:30:05,Halo,360,2008,6.2e+15*
2003/11/11,02:30:07,Halo,360,1359,1.1e+16*
2003/11/11,13:54:05,Halo,360,1315,6.0e+15*
2003/11/12,10:54:06,Halo,360,1197,1.1e+16*
2003/11/18,08:50:05,Halo,360,1660,2.4e+16*
